location,latitude,longitude,survey_date,total_waterfowl
Arkansas Delta (MAV),34.7,-90.9,2015-11-13,889191
Arkansas Delta (MAV),34.7,-90.9,2015-12-04,948451
Arkansas Delta (MAV),34.7,-90.9,2016-01-03,996099
Arkansas Delta (MAV),34.7,-90.9,2016-01-15,992255
Arkansas Delta (MAV),34.7,-90.9,2016-11-14,269561
Arkansas Delta (MAV),34.7,-90.9,2016-12-02,750174
Arkansas Delta (MAV),34.7,-90.9,2017-01-16,1054934
Arkansas Delta (MAV),34.7,-90.9,2017-12-04,791399
Arkansas Delta (MAV),34.7,-90.9,2018-01-01,1155538
Arkansas Delta (MAV),34.7,-90.9,2018-11-12,837398
Arkansas Delta (MAV),34.7,-90.9,2018-12-09,1181998
Arkansas Delta (MAV),34.7,-90.9,2019-01-07,1054553
Arkansas Delta (MAV),34.7,-90.9,2019-01-20,964356
Arkansas Delta (MAV),34.7,-90.9,2019-11-16,681730
Arkansas Delta (MAV),34.7,-90.9,2019-12-12,898656
Arkansas Delta (MAV),34.7,-90.9,2020-01-04,1472083
Arkansas Delta (MAV),34.7,-90.9,2020-01-17,1044410
Arkansas Delta (MAV),34.7,-90.9,2020-12-07,632977
Arkansas Delta (MAV),34.7,-90.9,2021-01-04,1078209
Arkansas Delta (MAV),34.7,-90.9,2021-01-17,1208147
Arkansas Delta (MAV),34.7,-90.9,2021-12-06,566456
Arkansas Delta (MAV),34.7,-90.9,2022-01-03,961247
Arkansas Delta (MAV),34.7,-90.9,2022-01-17,1136186
Arkansas Delta (MAV),34.7,-90.9,2022-12-04,1136558
Arkansas Delta (MAV),34.7,-90.9,2023-01-01,1743324
Arkansas Delta (MAV),34.7,-90.9,2023-01-16,1207170
Arkansas Delta (MAV),34.7,-90.9,2023-12-04,449860
Arkansas Delta (MAV),34.7,-90.9,2024-01-01,682089
Arkansas Delta (MAV),34.7,-90.9,2024-01-19,752293
Arkansas Delta (MAV),34.7,-90.9,2024-12-09,529977
Arkansas Delta (MAV),34.7,-90.9,2025-01-06,924545
Arkansas Delta (MAV),34.7,-90.9,2025-01-20,793742
Arkansas Delta (MAV),34.7,-90.9,2025-12-10,1458354
Arkansas Delta (MAV),34.7,-90.9,2026-01-05,544705
Arkansas Delta (MAV),34.7,-90.9,2026-01-19,694286
